Marke,Modell,Baujahr,Getriebe,Kilometerstand,Kraftstoffart,Verbrauch (l/100km),Motorgröße (l),Alter
0,9,2017,2,25322,1,4.25,1.4,6
0,14,2016,0,58262,2,3.66,2.0,7
0,9,2016,2,48193,1,4.25,1.4,7
0,12,2017,0,41765,2,3.5,2.0,6
0,11,2019,2,3215,1,4.74,1.0,4
0,9,2016,0,51917,1,3.99,1.4,7
0,14,2016,0,123577,2,3.83,2.0,7
0,12,2016,2,120998,2,3.33,2.0,7
0,11,2015,2,74209,1,3.91,1.4,8
0,9,2016,2,36131,1,4.25,1.4,7
0,11,2017,2,46598,1,3.99,1.4,6
0,14,2016,0,84004,2,4.08,2.0,7
0,119,2016,2,72283,2,4.5,2.0,7
0,11,2017,2,34914,1,3.99,1.4,6
0,14,2015,2,76199,2,3.83,2.0,8
0,11,2017,0,42093,1,3.99,1.4,6
0,119,2016,0,45698,2,4.41,2.0,7
0,11,2014,0,49110,1,4.16,1.4,9
0,120,2016,0,60594,2,4.99,2.0,7
0,119,2014,2,54894,1,4.91,1.4,9
0,13,2017,0,59706,2,3.5,2.0,6
0,120,2016,0,38163,2,4.99,2.0,7
0,13,2017,0,34840,2,3.99,3.0,6
0,14,2015,0,100982,2,4.41,3.0,8
0,120,2016,0,38284,2,4.99,2.0,7
0,12,2017,0,28031,2,3.75,2.0,6
0,13,2017,0,53591,2,3.83,2.0,6
0,9,2018,2,17369,1,4.16,1.4,5
0,12,2018,0,40455,2,3.33,2.0,5
0,14,2015,2,98452,2,3.75,2.0,8
0,9,2015,0,88117,2,3.08,1.6,8
0,119,2017,2,34389,1,4.58,1.4,6
0,119,2014,0,63070,2,4.91,2.0,9
0,119,2017,0,76414,1,4.91,1.4,6
0,119,2016,0,65179,2,4.58,2.0,7
0,119,2014,0,69515,2,4.91,2.0,9
0,9,2017,2,50608,1,3.5,1.0,6
0,14,2016,0,54765,2,3.99,2.0,7
0,12,2017,2,46772,2,3.33,2.0,6
0,11,2017,2,47547,2,3.58,2.0,6
0,11,2015,2,121696,2,3.41,2.0,8
0,119,2016,0,63734,2,4.67,2.0,7
0,119,2017,0,69053,2,4.58,2.0,6
0,13,2014,0,134978,2,3.99,2.0,9
0,119,2016,0,94548,1,4.91,1.4,7
0,11,2019,2,3265,1,4.74,1.0,4
0,14,2018,0,36947,1,4.67,1.8,5
0,12,2017,0,51654,2,3.25,2.0,6
0,13,2017,0,21013,1,4.41,2.0,6
0,137,2017,0,32634,1,6.08,3.0,6
0,12,2016,2,84588,2,3.17,2.0,7
0,14,2015,0,50861,2,3.5,2.0,8
0,119,2016,2,51516,1,4.74,1.4,7
0,119,2016,2,62979,2,3.91,2.0,7
0,120,2015,0,144008,2,4.99,2.0,8
0,11,2015,0,90591,1,5.5,1.8,8
0,14,2016,0,76873,2,3.83,2.0,7
0,9,2014,2,55224,1,4.41,1.4,9
0,11,2016,2,106810,2,2.83,1.6,7
0,14,2016,2,54894,2,3.83,2.0,7
0,9,2013,2,122742,2,3.17,1.6,10
0,11,2016,2,60897,2,3.33,1.6,7
0,11,2017,2,42243,2,3.5,1.6,6
0,119,2017,2,72256,2,4.08,2.0,6
0,119,2017,2,108084,1,4.58,1.4,6
0,11,2018,2,28955,1,4.33,1.5,5
0,12,2016,2,156814,2,3.33,2.0,7
0,9,2017,2,31008,1,3.5,1.0,6
0,11,2013,0,82786,1,4.67,1.8,10
0,9,2016,2,29259,1,3.5,1.0,7
0,11,2016,2,31372,2,3.5,2.0,7
0,14,2016,2,52799,2,3.83,2.0,7
0,11,2017,2,41786,2,3.58,2.0,6
0,11,2016,2,141967,2,3.41,2.0,7
0,11,2019,2,9179,1,4.74,1.0,4
0,12,2017,2,17636,1,4.58,1.4,6
0,120,2016,0,48603,2,4.99,2.0,7
0,119,2017,0,31090,1,5.82,2.0,6
0,14,2017,2,36342,2,3.83,2.0,6
0,13,2017,2,32270,1,4.74,2.0,6
0,119,2016,2,26821,2,3.91,2.0,7
0,11,2016,2,41240,2,3.17,1.6,7
0,11,2016,2,16833,1,3.91,1.4,7
0,14,2016,0,69695,2,4.08,2.0,7
0,9,2017,2,47197,1,4.25,1.4,6
0,119,2017,2,59085,1,4.58,1.4,6
0,9,2014,2,45582,1,4.41,1.4,9
0,9,2016,2,19473,1,4.16,1.4,7
0,119,2017,2,28969,2,3.75,2.0,6
0,9,2016,2,46284,1,4.25,1.4,7
0,11,2019,1,6437,1,5.33,1.5,4
0,118,2019,1,12708,2,4.91,2.0,4
0,14,2016,0,39821,2,4.16,3.0,7
0,119,2015,0,48400,2,4.58,2.0,8
0,9,2017,2,20240,1,3.99,1.4,6
0,14,2016,0,39301,2,3.83,2.0,7
0,9,2016,2,25052,2,3.08,1.6,7
0,12,2018,2,24473,1,4.58,1.4,5
0,12,2017,2,23921,1,4.5,1.4,6
0,12,2019,1,14484,1,6.08,2.0,4
0,12,2019,2,8046,1,6.08,2.0,4
0,118,2019,1,6862,1,7.08,2.0,4
0,119,2019,2,6437,2,5.5,2.0,4
0,119,2019,2,6437,1,5.57,1.5,4
0,118,2019,2,4379,2,4.74,1.6,4
0,118,2019,1,6437,1,5.57,1.5,4
0,120,2016,1,79902,2,5.57,3.0,7
0,12,2017,2,22640,1,4.58,1.4,6
0,12,2017,2,37162,1,4.5,1.4,6
0,119,2017,0,49377,2,4.67,2.0,6
0,9,2016,2,29405,1,3.5,1.0,7
0,118,2017,0,38163,2,3.41,1.6,6
0,14,2016,0,114763,2,3.83,2.0,7
0,14,2018,0,47438,2,3.83,2.0,5
0,120,2016,0,97447,2,4.99,2.0,7
0,14,2017,0,67706,2,3.83,2.0,6
0,15,2014,0,89759,2,5.25,3.0,9
0,9,2016,2,58679,2,3.08,1.6,7
0,11,2016,2,40838,1,4.08,1.4,7
0,12,2017,0,63388,2,3.5,2.0,6
0,11,2017,2,103330,2,3.5,2.0,6
0,9,2017,2,79213,1,4.25,1.4,6
0,9,2017,2,43740,2,3.08,1.6,6
0,12,2014,2,50494,2,3.99,2.0,9
0,13,2015,0,100854,2,4.41,2.0,8
0,12,2017,2,16095,1,4.58,1.4,6
0,14,2016,0,84561,2,3.83,2.0,7
0,12,2016,2,101544,1,4.74,2.0,7
0,14,2016,2,117428,2,3.83,2.0,7
0,13,2017,0,52739,2,3.33,2.0,6
0,119,2018,0,21409,1,5.82,2.0,5
0,11,2019,2,4428,1,5.25,1.5,4
0,119,2016,2,37508,2,4.74,2.0,7
0,9,2017,2,55604,1,3.5,1.0,6
0,11,2017,2,40968,2,3.41,1.6,6
0,118,2018,2,19580,1,4.67,1.4,5
0,14,2015,0,37396,2,3.5,2.0,8
0,119,2016,0,19091,2,4.67,2.0,7
0,12,2017,2,34158,2,3.25,2.0,6
0,14,2015,0,51632,2,3.83,2.0,8
0,120,2017,0,27421,2,4.25,2.0,6
0,12,2016,2,115914,2,3.17,2.0,7
0,9,2017,2,56043,1,3.5,1.0,6
0,9,2017,2,32751,1,4.25,1.4,6
0,12,2017,0,93386,1,4.5,2.0,6
0,13,2017,0,72071,2,3.75,2.0,6
0,12,2014,2,97532,2,3.5,2.0,9
0,12,2013,2,64370,2,3.58,2.0,10
0,12,2017,0,33557,2,3.58,2.0,6
0,14,2016,2,128309,2,3.66,2.0,7
0,14,2017,0,46823,2,3.66,2.0,6
0,11,2013,2,159228,2,3.17,1.6,10
0,9,2016,2,36660,1,3.99,1.4,7
0,13,2018,2,33525,1,4.99,2.0,5
0,119,2016,0,46986,2,4.25,2.0,7
0,12,2017,2,23161,1,4.41,1.4,6
0,12,2018,2,32299,1,4.5,1.4,5
0,14,2016,0,143768,2,3.75,3.0,7
0,9,2016,2,34484,1,3.5,1.0,7
0,12,2016,2,73200,2,3.33,2.0,7
0,119,2016,2,52631,2,3.91,2.0,7
0,119,2018,0,67928,1,5.57,2.0,5
0,12,2017,2,27806,1,4.83,1.4,6
0,9,2017,2,47499,1,3.5,1.0,6
0,11,2014,2,70267,2,3.5,2.0,9
0,12,2017,0,72782,2,3.75,2.0,6
0,14,2017,2,73210,2,3.83,2.0,6
0,120,2014,2,84115,1,6.24,2.0,9
0,11,2014,1,65672,1,4.67,1.8,9
0,119,2014,2,106150,2,4.74,2.0,9
0,120,2014,1,76681,1,6.57,2.0,9
0,120,2017,1,44977,1,5.75,2.0,6
0,12,2013,2,50161,1,4.74,1.8,10
0,12,2013,0,67609,1,4.99,2.0,10
0,14,2015,1,90308,2,4.67,3.0,8
0,14,2015,1,105950,2,3.83,2.0,8
0,14,2017,1,102004,2,5.16,3.0,6
0,120,2017,1,54735,1,6.92,3.0,6
0,13,2014,1,83898,2,4.74,3.0,9
0,12,2015,2,62421,2,4.25,2.0,8
0,9,2017,2,55609,1,4.25,1.4,6
0,120,2017,1,28166,1,5.82,2.0,6
0,154,2019,0,4828,1,5.75,2.0,4
0,14,2015,2,55757,2,3.83,2.0,8
0,120,2017,1,28968,2,4.16,2.0,6
0,119,2018,1,27495,1,4.91,1.4,5
0,9,2017,2,77515,2,3.25,1.6,6
0,120,2015,1,61832,2,4.99,2.0,8
0,13,2015,2,75054,2,3.83,2.0,8
0,11,2016,2,39377,2,3.17,1.6,7
0,120,2017,0,47222,2,4.99,2.0,6
0,11,2019,2,13597,2,4.58,1.6,4
0,13,2017,2,55810,2,3.58,2.0,6
0,11,2018,1,38398,1,3.91,1.0,5
0,12,2018,0,33810,1,6.57,3.0,5
0,14,2019,0,3027,2,4.91,2.0,4
0,14,2019,1,1107,2,4.91,2.0,4
0,14,2019,0,2998,2,4.91,2.0,4
0,121,2020,1,16,2,7.08,3.0,3
0,129,2016,1,78938,1,8.0,4.0,7
0,12,2019,1,1647,1,6.08,2.0,4
0,12,2019,1,720,1,5.91,2.0,4
0,12,2019,1,766,1,6.0,2.0,4
0,15,2019,0,8370,2,6.08,3.0,4
0,11,2019,1,3263,1,5.57,1.5,4
0,14,2019,0,5215,2,6.0,3.0,4
0,120,2019,0,571,2,6.0,2.0,4
0,13,2019,0,28,1,5.91,2.0,4
0,11,2019,0,5024,1,5.67,1.5,4
0,118,2019,2,1326,1,5.75,1.5,4
0,14,2019,1,4523,2,4.91,2.0,4
0,14,2019,1,43,2,4.67,2.0,4
0,12,2019,1,6846,1,6.16,2.0,4
0,9,2019,1,3624,1,4.83,1.0,4
0,118,2019,0,5507,2,4.91,1.6,4
0,118,2019,0,59,2,4.91,1.6,4
